country,year,sex,age_start,age_width,pop,date,source
austria,2015,F,0,1,38920,start,pe
austria,2015,F,1,1,39284,start,pe
austria,2015,F,2,1,39381,start,pe
austria,2015,F,3,1,39135,start,pe
austria,2015,F,4,1,39995,start,pe
austria,2015,F,5,1,38931,start,pe
austria,2015,F,6,1,39221,start,pe
austria,2015,F,7,1,39002,start,pe
austria,2015,F,8,1,40030,start,pe
austria,2015,F,9,1,40087,start,pe
austria,2015,F,10,1,40492,start,pe
austria,2015,F,11,1,39870,start,pe
austria,2015,F,12,1,41098,start,pe
austria,2015,F,13,1,39741,start,pe
austria,2015,F,14,1,41404,start,pe
austria,2015,F,15,1,41434,start,pe
austria,2015,F,16,1,42959,start,pe
austria,2015,F,17,1,44598,start,pe
austria,2015,F,18,1,46969,start,pe
austria,2015,F,19,1,48106,start,pe
austria,2015,F,20,1,50593,start,pe
austria,2015,F,21,1,52684,start,pe
austria,2015,F,22,1,53843,start,pe
austria,2015,F,23,1,55790,start,pe
austria,2015,F,24,1,55779,start,pe
austria,2015,F,25,1,56363,start,pe
austria,2015,F,26,1,56364,start,pe
austria,2015,F,27,1,56073,start,pe
austria,2015,F,28,1,56404,start,pe
austria,2015,F,29,1,56188,start,pe
austria,2015,F,30,1,57579,start,pe
austria,2015,F,31,1,57491,start,pe
austria,2015,F,32,1,59529,start,pe
austria,2015,F,33,1,59134,start,pe
austria,2015,F,34,1,57163,start,pe
austria,2015,F,35,1,54117,start,pe
austria,2015,F,36,1,53443,start,pe
austria,2015,F,37,1,53605,start,pe
austria,2015,F,38,1,54042,start,pe
austria,2015,F,39,1,56369,start,pe
austria,2015,F,40,1,58184,start,pe
austria,2015,F,41,1,58550,start,pe
austria,2015,F,42,1,61771,start,pe
austria,2015,F,43,1,63759,start,pe
austria,2015,F,44,1,65134,start,pe
austria,2015,F,45,1,69141,start,pe
austria,2015,F,46,1,70469,start,pe
austria,2015,F,47,1,70295,start,pe
austria,2015,F,48,1,70538,start,pe
austria,2015,F,49,1,70826,start,pe
austria,2015,F,50,1,71635,start,pe
austria,2015,F,51,1,71280,start,pe
austria,2015,F,52,1,69105,start,pe
austria,2015,F,53,1,67448,start,pe
austria,2015,F,54,1,64924,start,pe
austria,2015,F,55,1,62807,start,pe
austria,2015,F,56,1,60222,start,pe
austria,2015,F,57,1,58827,start,pe
austria,2015,F,58,1,58438,start,pe
austria,2015,F,59,1,54227,start,pe
austria,2015,F,60,1,51584,start,pe
austria,2015,F,61,1,49908,start,pe
austria,2015,F,62,1,49028,start,pe
austria,2015,F,63,1,46857,start,pe
austria,2015,F,64,1,47889,start,pe
austria,2015,F,65,1,48247,start,pe
austria,2015,F,66,1,49849,start,pe
austria,2015,F,67,1,50200,start,pe
austria,2015,F,68,1,41574,start,pe
austria,2015,F,69,1,34488,start,pe
austria,2015,F,70,1,44338,start,pe
austria,2015,F,71,1,43589,start,pe
austria,2015,F,72,1,42863,start,pe
austria,2015,F,73,1,49155,start,pe
austria,2015,F,74,1,52030,start,pe
austria,2015,F,75,1,49559,start,pe
austria,2015,F,76,1,33729,start,pe
austria,2015,F,77,1,29835,start,pe
austria,2015,F,78,1,29038,start,pe
austria,2015,F,79,1,28022,start,pe
austria,2015,F,80,1,27153,start,pe
austria,2015,F,81,1,26897,start,pe
austria,2015,F,82,1,26559,start,pe
austria,2015,F,83,1,25414,start,pe
austria,2015,F,84,1,24565,start,pe
austria,2015,F,85,1,22448,start,pe
austria,2015,F,86,1,20695,start,pe
austria,2015,F,87,1,18444,start,pe
austria,2015,F,88,1,17655,start,pe
austria,2015,F,89,1,16017,start,pe
austria,2015,F,90,1,13724,start,pe
austria,2015,F,91,1,11825,start,pe
austria,2015,F,92,1,9531,start,pe
austria,2015,F,93,1,7507,start,pe
austria,2015,F,94,1,5357,start,pe
austria,2015,F,95,1,3128,start,pe
austria,2015,F,96,1,1544,start,pe
austria,2015,F,97,1,1031,start,pe
austria,2015,F,98,1,704,start,pe
austria,2015,F,99,1,598,start,pe
austria,2015,F,100,1,484,start,pe
austria,2015,F,101,1,301,start,pe
austria,2015,F,102,1,184,start,pe
austria,2015,F,103,1,94,start,pe
austria,2015,F,104,1,53,start,pe
austria,2015,F,105,Inf,45,start,pe
austria,2015,M,0,1,41562,start,pe
austria,2015,M,1,1,41773,start,pe
austria,2015,M,2,1,42104,start,pe
austria,2015,M,3,1,41844,start,pe
austria,2015,M,4,1,42005,start,pe
austria,2015,M,5,1,40731,start,pe
austria,2015,M,6,1,41821,start,pe
austria,2015,M,7,1,40791,start,pe
austria,2015,M,8,1,41513,start,pe
austria,2015,M,9,1,41771,start,pe
austria,2015,M,10,1,42779,start,pe
austria,2015,M,11,1,42063,start,pe
austria,2015,M,12,1,43000,start,pe
austria,2015,M,13,1,42066,start,pe
austria,2015,M,14,1,43599,start,pe
austria,2015,M,15,1,43763,start,pe
austria,2015,M,16,1,45521,start,pe
austria,2015,M,17,1,47065,start,pe
austria,2015,M,18,1,49808,start,pe
austria,2015,M,19,1,50695,start,pe
austria,2015,M,20,1,53245,start,pe
austria,2015,M,21,1,55247,start,pe
austria,2015,M,22,1,56669,start,pe
austria,2015,M,23,1,57813,start,pe
austria,2015,M,24,1,57456,start,pe
austria,2015,M,25,1,57344,start,pe
austria,2015,M,26,1,58411,start,pe
austria,2015,M,27,1,57293,start,pe
austria,2015,M,28,1,57486,start,pe
austria,2015,M,29,1,58101,start,pe
austria,2015,M,30,1,58459,start,pe
austria,2015,M,31,1,58348,start,pe
austria,2015,M,32,1,59718,start,pe
austria,2015,M,33,1,59622,start,pe
austria,2015,M,34,1,58437,start,pe
austria,2015,M,35,1,55628,start,pe
austria,2015,M,36,1,54244,start,pe
austria,2015,M,37,1,53818,start,pe
austria,2015,M,38,1,54250,start,pe
austria,2015,M,39,1,56065,start,pe
austria,2015,M,40,1,57137,start,pe
austria,2015,M,41,1,57051,start,pe
austria,2015,M,42,1,60691,start,pe
austria,2015,M,43,1,63066,start,pe
austria,2015,M,44,1,64879,start,pe
austria,2015,M,45,1,69111,start,pe
austria,2015,M,46,1,71541,start,pe
austria,2015,M,47,1,71571,start,pe
austria,2015,M,48,1,71634,start,pe
austria,2015,M,49,1,72191,start,pe
austria,2015,M,50,1,72439,start,pe
austria,2015,M,51,1,71502,start,pe
austria,2015,M,52,1,70190,start,pe
austria,2015,M,53,1,68035,start,pe
austria,2015,M,54,1,65032,start,pe
austria,2015,M,55,1,62340,start,pe
austria,2015,M,56,1,58909,start,pe
austria,2015,M,57,1,57690,start,pe
austria,2015,M,58,1,55681,start,pe
austria,2015,M,59,1,51695,start,pe
austria,2015,M,60,1,48605,start,pe
austria,2015,M,61,1,46717,start,pe
austria,2015,M,62,1,45876,start,pe
austria,2015,M,63,1,43289,start,pe
austria,2015,M,64,1,44142,start,pe
austria,2015,M,65,1,43980,start,pe
austria,2015,M,66,1,44645,start,pe
austria,2015,M,67,1,44975,start,pe
austria,2015,M,68,1,37259,start,pe
austria,2015,M,69,1,29643,start,pe
austria,2015,M,70,1,37747,start,pe
austria,2015,M,71,1,36976,start,pe
austria,2015,M,72,1,36374,start,pe
austria,2015,M,73,1,40890,start,pe
austria,2015,M,74,1,42914,start,pe
austria,2015,M,75,1,40447,start,pe
austria,2015,M,76,1,26760,start,pe
austria,2015,M,77,1,23421,start,pe
austria,2015,M,78,1,21630,start,pe
austria,2015,M,79,1,19937,start,pe
austria,2015,M,80,1,18709,start,pe
austria,2015,M,81,1,17981,start,pe
austria,2015,M,82,1,17196,start,pe
austria,2015,M,83,1,15734,start,pe
austria,2015,M,84,1,14763,start,pe
austria,2015,M,85,1,12714,start,pe
austria,2015,M,86,1,11088,start,pe
austria,2015,M,87,1,9180,start,pe
austria,2015,M,88,1,7634,start,pe
austria,2015,M,89,1,6099,start,pe
austria,2015,M,90,1,4701,start,pe
austria,2015,M,91,1,3707,start,pe
austria,2015,M,92,1,2838,start,pe
austria,2015,M,93,1,2105,start,pe
austria,2015,M,94,1,1466,start,pe
austria,2015,M,95,1,806,start,pe
austria,2015,M,96,1,391,start,pe
austria,2015,M,97,1,237,start,pe
austria,2015,M,98,1,152,start,pe
austria,2015,M,99,1,114,start,pe
austria,2015,M,100,1,101,start,pe
austria,2015,M,101,1,67,start,pe
austria,2015,M,102,1,38,start,pe
austria,2015,M,103,1,17,start,pe
austria,2015,M,104,1,9,start,pe
austria,2015,M,105,Inf,10,start,pe
austria,2016,F,0,1,40240,start,pe
austria,2016,F,1,1,40860,start,pe
austria,2016,F,2,1,40024,start,pe
austria,2016,F,3,1,40212,start,pe
austria,2016,F,4,1,39901,start,pe
austria,2016,F,5,1,40700,start,pe
austria,2016,F,6,1,39560,start,pe
austria,2016,F,7,1,39848,start,pe
