country,year,wpp_pop,nso_pop,abs_dif,rel_dif
Austria,2015,8678667,8629519,-49148,-0.0056630816691088616
Austria,2016,8747306,8739806,-7500,-8.574068404603657e-4
Austria,2017,8819902,8795073,-24829,-0.0028151106440865215
Austria,2018,8891383,8837707,-53676,-0.006036856133629605
Austria,2019,8955108,8879492,-75616,-0.00844389593068001
Austria,2020,9006400,8916845,-89555,-0.00994348463314976
Austria,2021,9043072,8960751,-82321,-0.009103211828900622
Belgium,2015,11287931,11238477,-49454,-0.00438113946656832
Belgium,2016,11354407,11294999,-59408,-0.005232153471334963
Belgium,2017,11419752,11349079,-70673,-0.006188663291462021
Belgium,2018,11482180,11403738,-78442,-0.006831629533764494
Belgium,2019,11539326,11462023.5,-77302.5,-0.0066990481073158
Belgium,2020,11589616,11506939.5,-82676.5,-0.007133670347662943
Bulgaria,2015,7199739,7177991,-21748,-0.003020665054663787
Bulgaria,2016,7151948,7127821.5,-24126.5,-0.003373416585243629
Bulgaria,2017,7102452,7075946.5,-26505.5,-0.0037318802013727092
Bulgaria,2018,7051610,7025036.5,-26573.5,-0.0037684301882832433
Bulgaria,2019,7000117,6975760.5,-24356.5,-0.0034794418436148995
Bulgaria,2020,6948445,6934015,-14430,-0.002076723641044867
Chile,2015,17969356,17971423,2067,1.1502916409469543e-4
Chile,2016,18209072,18167147,-41925,-0.002302423758882386
Chile,2017,18470435,18419192,-51243,-0.0027743255640703644
Chile,2018,18729166,18751405,22239,0.0011873993748573747
Chile,2019,18952035,19107216,155181,0.008188091674587979
Chile,2020,19116209,19458310,342101,0.017895860000275158
Chile,2021,19212362,19678363,466001,0.024255268560940086
Croatia,2015,4232874,4203604,-29270,-0.006914923524773003
Croatia,2016,4208611,4174349,-34262,-0.008140928206479525
Croatia,2017,4182847,4124531,-58316,-0.01394170047338571
Croatia,2018,4156407,4087843,-68564,-0.016495978377478432
Croatia,2019,4130299,4065253,-65046,-0.015748496658474363
Croatia,2020,4105268,4047680,-57588,-0.014027829608200974
Czech Republic,2015,10601390,10546059,-55331,-0.005219221253062099
Czech Republic,2016,10618868,10566331.5,-52536.5,-0.004947467093479267
Czech Republic,2017,10641032,10594437.5,-46594.5,-0.004378757624260504
Czech Republic,2018,10665679,10629927.5,-35751.5,-0.003352013500500062
Czech Republic,2019,10689213,10671869.5,-17343.5,-0.00162252356651514
Czech Republic,2020,10708982,10697858,-11124,-0.001038754197177659
Denmark,2015,5688695,5678348,-10347,-0.0018188705845541024
Denmark,2016,5711346,5724456,13110,0.002295430884418489
Denmark,2017,5732277,5760694,28417,0.004957366854393115
Denmark,2018,5752131,5789957,37826,0.006575997660693054
Denmark,2019,5771877,5814461,42584,0.007377842597823897
Denmark,2020,5792203,5825337,33134,0.005720448679025925
Denmark,2021,5813302,5850189,36887,0.0063452750261383285
England and Wales,2015,57893153.70000002,57885413,-7740.700000017881,-1.3370665623313382e-4
England and Wales,2016,58351503.199999996,58381217,29713.80000000447,5.092208147262344e-4
